student_id,gender,age,study_hours,attendance,previous_score,sleep_hours,internet_access,final_score
S001,Female,19,5.5,89.1,89.0,7.9,No,67.4
S002,Female,23,4.2,100.0,81.9,6.3,Yes,67.6
S003,Male,20,5.8,61.2,68.9,6.0,Yes,51.0
S004,Male,20,7.5,84.8,58.3,7.0,Yes,60.1
S005,Male,20,4.0,70.2,78.5,6.8,Yes,46.6
S006,Male,18,4.0,72.2,73.9,6.5,Yes,59.9
S007,Male,18,7.7,70.9,81.4,7.8,Yes,68.4
S008,Female,19,6.0,67.6,77.5,8.1,Yes,57.8
S009,Male,22,3.6,78.6,83.7,7.1,Yes,68.0
S010,Male,22,5.6,68.0,60.0,8.8,Yes,63.2
S011,Female,22,3.6,81.2,87.8,5.6,No,53.2
S012,Female,23,3.6,77.4,71.0,6.8,Yes,52.7
S013,Male,23,5.0,75.1,99.1,6.1,Yes,64.8
S014,Female,19,0.7,67.1,57.7,4.8,Yes,37.1
S015,Female,23,1.1,71.1,94.0,6.9,Yes,66.7
S016,Male,22,3.4,87.1,71.0,6.9,Yes,58.8
S017,Male,22,2.5,84.0,58.2,8.8,Yes,52.7
S018,Male,20,5.1,66.3,60.7,7.8,Yes,40.9
S019,Female,23,2.7,79.2,63.2,5.8,Yes,57.6
S020,Female,18,1.7,87.0,74.4,9.2,Yes,51.7
S021,Male,18,7.4,58.0,75.8,8.5,No,63.6
S022,Male,20,4.0,84.5,59.4,7.7,Yes,58.9
S023,Female,20,4.6,70.0,67.6,6.7,Yes,66.3
S024,Male,20,1.7,84.8,100.0,5.8,Yes,57.6
S025,Male,18,3.4,68.8,93.9,6.6,Yes,43.0
S026,Female,22,4.7,56.3,74.5,8.3,Yes,58.7
S027,Female,20,2.2,58.5,68.6,9.3,Yes,64.6
S028,Female,19,5.3,78.6,69.8,8.9,Yes,71.2
S029,Female,20,3.3,81.1,77.2,6.4,Yes,62.0
S030,Female,21,3.9,67.1,52.7,5.7,Yes,44.8
S031,Male,20,3.3,85.7,64.1,7.2,Yes,63.0
S032,Female,18,8.2,58.1,43.0,4.9,Yes,42.4
S033,Male,23,4.5,77.2,74.0,7.4,Yes,64.5
S034,Female,20,2.4,63.5,77.7,6.8,Yes,58.6
S035,Male,23,6.1,70.2,60.8,6.4,Yes,64.0
S036,Female,21,2.1,78.6,91.6,5.1,Yes,81.5
S037,Male,19,4.9,67.7,49.6,7.6,Yes,53.3
S038,Male,23,0.6,73.4,46.0,6.4,Yes,38.4
S039,Male,22,1.8,90.1,71.4,5.6,Yes,57.2
S040,Male,20,4.9,71.1,83.7,4.0,Yes,49.0
S041,Female,21,6.0,88.0,93.3,7.0,Yes,68.7
S042,Female,21,4.8,64.4,61.1,9.1,Yes,52.3
S043,Male,23,4.3,84.4,84.2,9.0,Yes,64.1
S044,Male,19,3.9,95.3,67.4,6.5,Yes,62.5
S045,Male,18,1.5,48.3,65.4,6.3,Yes,38.9
S046,Male,20,3.1,68.4,81.3,7.6,Yes,67.3
S047,Male,21,3.6,84.9,77.8,5.8,Yes,61.7
S048,Female,19,6.6,75.6,44.4,7.4,No,53.2
S049,Male,22,5.2,82.5,90.1,7.9,Yes,68.0
S050,Male,21,1.0,70.8,88.7,8.5,Yes,61.0
S051,Male,19,5.1,79.0,58.6,6.9,No,62.4
S052,Male,18,3.7,76.1,73.9,6.8,No,53.0
S053,Male,18,3.1,92.0,75.4,5.9,Yes,57.3
S054,Female,21,5.7,81.1,71.9,6.0,Yes,60.3
S055,Male,21,6.6,82.1,59.7,6.7,Yes,50.7
S056,Male,23,6.4,73.1,57.9,7.4,Yes,51.7
S057,Male,20,2.8,72.1,67.6,8.1,Yes,51.8
S058,Male,19,3.9,72.8,85.6,6.0,Yes,68.5
S059,Male,21,5.2,82.7,76.2,8.8,Yes,67.6
S060,Female,20,6.5,72.9,62.4,6.7,No,60.0
S061,Female,23,3.5,81.5,79.6,7.0,Yes,68.4
S062,Female,20,4.1,100.0,30.0,6.1,Yes,47.6
S063,Male,21,2.3,88.5,85.2,4.1,Yes,64.5
S064,Male,18,2.1,74.1,41.9,8.1,Yes,43.9
S065,Female,19,6.1,92.4,62.6,7.9,Yes,65.8
S066,Female,19,7.2,73.1,51.2,6.7,Yes,51.7
S067,Female,18,4.4,53.5,48.6,7.1,Yes,28.1
S068,Male,21,6.5,65.9,85.4,7.6,Yes,65.5
S069,Male,19,5.2,55.6,61.0,5.1,Yes,60.3
S070,Male,21,3.2,73.8,73.2,6.4,No,63.5
S071,Female,23,5.2,78.2,67.3,8.0,Yes,67.4
S072,Female,21,7.6,98.1,75.2,5.5,Yes,79.5
S073,Female,20,4.4,81.9,69.2,7.4,Yes,61.1
S074,Male,18,7.6,75.4,48.8,5.4,Yes,56.5
S075,Female,21,0.5,88.0,82.9,7.6,Yes,56.1
S076,Male,23,6.1,51.5,60.6,7.0,Yes,50.1
S077,Male,22,4.7,80.8,44.7,5.1,Yes,53.8
S078,Male,18,3.9,87.3,61.6,8.4,Yes,67.2
S079,Female,19,4.7,60.3,90.5,6.1,Yes,61.6
S080,Male,20,0.5,91.7,80.8,6.0,Yes,56.2
S081,Male,19,4.1,82.1,62.8,7.2,Yes,57.3
S082,Female,23,5.2,73.0,62.8,8.4,Yes,62.2
S083,Male,23,7.5,85.6,63.2,5.8,Yes,53.0
S084,Male,19,3.5,100.0,99.2,7.1,Yes,58.4
S085,Male,18,2.9,80.2,73.7,7.5,Yes,55.3
S086,Male,19,3.5,81.0,74.5,7.8,Yes,52.4
S087,Female,21,6.3,72.5,83.5,7.2,Yes,63.2
S088,Male,19,5.2,67.8,71.6,6.6,Yes,57.4
S089,Male,20,3.4,88.0,64.1,6.0,Yes,54.0
S090,Female,20,5.5,67.7,65.1,7.1,Yes,67.2
S091,Female,22,4.7,78.9,66.9,5.7,Yes,60.3
S092,Female,20,6.4,72.3,67.4,4.0,Yes,60.3
S093,Male,19,3.1,83.7,78.9,7.5,Yes,66.7
S094,Male,20,3.8,82.0,68.8,8.1,Yes,51.9
S095,Female,18,3.7,90.5,79.0,4.2,Yes,69.8
S096,Female,20,1.6,71.9,66.8,5.8,No,50.2
S097,Female,21,5.1,74.8,69.2,7.7,Yes,64.8
S098,Female,18,5.0,66.3,38.0,9.5,No,39.9
S099,Female,22,4.5,72.7,81.7,7.0,No,51.9
S100,Male,21,4.0,82.5,73.2,6.1,Yes,66.2
S101,Male,19,1.7,87.1,83.0,6.8,Yes,64.3
S102,Female,19,3.7,66.9,30.0,8.6,No,35.2
S103,Male,19,3.8,88.4,99.3,6.2,Yes,65.5
S104,Male,21,2.9,94.3,65.9,6.0,Yes,66.4
S105,Female,21,4.2,83.0,84.6,6.4,Yes,57.1
S106,Female,21,5.3,100.0,52.4,5.9,Yes,70.4
S107,Male,18,8.3,68.7,77.2,7.1,Yes,60.5
S108,Male,23,4.8,63.1,52.2,8.9,Yes,55.8
S109,Male,18,5.0,56.7,58.6,7.4,Yes,48.9
S110,Female,19,4.4,96.0,96.7,6.7,Yes,78.0
S111,Female,23,0.7,85.9,65.1,6.6,No,48.9
S112,Male,20,4.4,77.3,71.3,5.1,Yes,57.2
S113,Male,19,4.6,81.4,81.1,8.1,Yes,66.0
S114,Female,22,9.4,64.5,75.4,6.9,Yes,59.9
S115,Male,18,4.1,100.0,70.3,6.8,Yes,69.6
S116,Female,21,5.1,79.6,73.5,10.0,Yes,61.2
S117,Female,18,4.4,79.3,100.0,7.4,No,69.9
S118,Male,21,2.2,86.7,67.1,6.1,Yes,48.9
S119,Female,23,6.8,83.8,71.0,6.5,Yes,47.1
S120,Male,22,6.0,80.7,83.8,8.4,Yes,67.9
S121,Male,23,6.1,68.5,84.6,7.1,Yes,82.6
S122,Female,22,2.7,83.7,85.8,5.3,No,68.0
S123,Male,18,7.3,100.0,77.6,8.1,Yes,73.7
S124,Female,21,1.7,94.1,50.9,6.2,Yes,49.0
S125,Female,23,5.7,97.1,92.5,9.2,Yes,77.0
S126,Male,22,8.9,71.9,50.8,8.3,No,63.4
S127,Male,19,2.5,66.1,72.5,6.5,Yes,45.4
S128,Male,19,3.4,76.5,56.7,8.5,Yes,61.2
S129,Male,23,4.7,78.7,67.0,7.1,Yes,64.1
S130,Male,21,3.5,91.1,72.9,8.0,No,68.1
S131,Male,23,1.4,57.7,72.8,7.6,Yes,53.7
S132,Male,18,4.6,96.4,74.3,6.0,Yes,65.4
S133,Female,22,2.4,76.1,92.2,6.2,Yes,67.9
S134,Female,18,5.4,72.9,74.8,8.2,Yes,67.0
S135,Female,19,2.7,65.9,64.3,6.6,Yes,48.4
S136,Male,22,7.6,58.1,82.5,6.5,Yes,60.4
S137,Male,23,2.9,87.9,85.8,5.9,No,65.1
S138,Female,18,3.9,78.9,49.6,7.5,Yes,62.2
S139,Male,20,6.1,62.5,77.0,9.5,No,54.6
S140,Male,21,2.0,62.5,78.5,5.7,Yes,43.3
S141,Female,21,5.0,74.0,63.5,7.0,Yes,58.1
S142,Female,20,7.1,98.0,88.6,8.7,Yes,78.0
S143,Female,19,1.3,74.9,65.7,6.9,Yes,52.7
S144,Male,22,4.9,60.0,69.9,7.5,No,57.9
S145,Female,21,5.0,75.1,65.4,5.7,Yes,55.5
S146,Female,20,6.1,74.7,68.2,7.5,Yes,71.7
S147,Female,23,2.0,45.6,51.6,6.8,Yes,28.8
S148,Female,20,1.9,77.3,46.4,8.2,Yes,41.0
S149,Female,19,5.5,75.2,91.9,8.4,Yes,69.5
S150,Male,19,5.1,86.4,55.3,10.0,Yes,48.1
S151,Male,18,5.0,100.0,53.1,7.7,No,58.9
S152,Female,21,5.2,91.5,35.7,7.4,Yes,63.1
S153,Female,18,3.1,74.8,58.4,7.2,Yes,52.4
S154,Female,20,5.0,64.7,48.2,6.6,Yes,50.1
S155,Male,22,5.1,100.0,92.6,7.4,No,66.3
S156,Male,22,3.1,78.7,83.1,6.6,Yes,57.7
S157,Female,19,8.2,78.2,57.7,7.2,Yes,59.1
S158,Female,22,5.4,77.7,100.0,8.6,Yes,71.7
S159,Female,22,2.1,80.4,82.7,5.8,Yes,68.9
S160,Female,22,5.8,76.3,63.1,8.4,Yes,63.9
S161,Female,20,2.6,71.1,30.5,8.6,No,32.9
S162,Female,22,6.1,71.4,100.0,6.9,Yes,73.8
S163,Female,23,6.8,77.6,47.2,4.5,Yes,56.4
S164,Female,22,2.9,71.5,43.3,6.3,Yes,52.4
S165,Female,22,6.4,69.4,83.3,8.6,Yes,78.3
S166,Male,18,5.3,79.3,100.0,7.0,Yes,65.7
S167,Male,20,6.1,74.9,88.8,5.8,Yes,62.2
S168,Female,19,8.3,96.0,76.5,6.4,Yes,64.0
S169,Male,18,4.0,46.2,76.9,8.0,Yes,52.6
S170,Male,21,3.0,91.1,80.8,7.7,Yes,68.1
S171,Male,20,2.7,93.0,79.4,6.7,Yes,70.5
S172,Male,23,2.9,53.1,72.2,6.6,No,50.5
S173,Male,20,4.3,73.9,69.6,6.5,Yes,55.5
S174,Male,21,5.2,73.5,67.1,5.9,Yes,58.8
S175,Female,21,5.1,61.1,56.7,8.9,Yes,47.0
S176,Male,21,6.2,68.7,63.8,6.6,Yes,72.2
S177,Male,19,4.5,64.7,42.6,8.5,Yes,35.8
S178,Male,22,7.4,99.0,66.5,8.8,Yes,71.4
S179,Female,20,4.0,89.2,53.2,8.2,Yes,70.2
S180,Male,22,9.9,93.3,51.4,6.5,Yes,65.6
S181,Female,22,5.8,86.7,70.7,7.5,Yes,63.3
S182,Female,23,2.8,64.5,88.9,7.0,Yes,57.9
S183,Female,21,2.4,71.7,81.8,5.9,Yes,56.6
S184,Male,19,5.5,83.9,44.4,7.4,Yes,63.0
S185,Female,23,4.1,63.3,53.2,5.6,Yes,32.2
S186,Male,18,5.9,86.6,82.1,8.4,Yes,80.7
S187,Female,19,5.4,75.1,53.3,6.4,Yes,43.8
S188,Female,22,4.4,73.5,64.6,7.2,Yes,54.5
S189,Male,19,2.8,86.5,76.3,7.3,Yes,58.4
S190,Male,21,1.5,83.3,53.5,6.7,No,53.2
S191,Male,18,3.6,73.7,69.6,7.7,Yes,46.2
S192,Female,21,6.2,91.9,48.0,6.4,Yes,60.5
S193,Male,18,4.9,65.0,59.0,8.0,Yes,67.9
S194,Female,23,2.0,85.4,72.8,5.4,Yes,47.3
S195,Male,22,4.8,85.1,44.1,7.2,No,53.6
S196,Female,18,5.3,74.3,74.6,9.3,Yes,59.0
S197,Female,18,2.7,81.9,67.7,5.8,Yes,58.6
S198,Female,18,4.8,63.0,76.3,6.2,Yes,58.3
S199,Female,19,4.6,89.1,71.4,7.6,Yes,59.1
S200,Male,23,2.2,75.8,88.5,7.2,Yes,65.6
S201,Male,19,5.2,71.7,69.9,7.4,Yes,72.2
S202,Female,22,5.6,90.6,61.6,7.6,No,60.7
S203,Male,18,6.7,69.5,69.8,7.8,Yes,66.9
S204,Male,23,6.6,61.1,76.1,8.3,Yes,53.5
S205,Male,23,1.7,59.3,68.7,7.5,No,43.3
S206,Male,20,2.6,85.3,68.6,6.7,Yes,60.7
S207,Male,22,5.5,62.6,57.5,7.8,No,63.9
S208,Female,23,5.5,99.1,58.1,9.3,No,66.5
S209,Male,18,5.5,53.0,47.0,6.8,Yes,44.1
S210,Female,18,10.0,98.4,94.2,5.8,Yes,82.7
S211,Male,23,5.6,80.5,49.3,8.3,Yes,46.7
S212,Female,19,6.8,76.8,57.6,6.9,No,62.7
S213,Male,22,6.4,71.5,57.2,4.4,Yes,60.6
S214,Female,18,5.8,82.8,81.4,8.0,Yes,65.1
S215,Female,23,3.9,77.5,63.6,6.4,No,52.2
S216,Male,18,6.0,91.2,86.7,6.9,No,73.7
S217,Female,23,3.0,79.4,57.9,7.4,Yes,49.9
S218,Female,22,4.0,79.8,72.2,7.2,Yes,59.8
S219,Female,23,3.5,73.6,55.5,7.9,No,66.7
S220,Female,20,4.7,77.3,100.0,6.5,Yes,69.0
S221,Male,23,9.1,81.7,50.2,7.6,No,59.1
S222,Female,23,0.8,57.5,72.6,6.7,Yes,44.1
S223,Male,22,5.9,61.8,77.5,7.9,Yes,66.8
S224,Male,23,1.3,86.9,74.2,7.7,Yes,57.1
S225,Female,22,3.6,80.1,65.2,5.9,Yes,51.2
S226,Male,20,6.7,75.8,66.1,8.3,Yes,71.7
S227,Female,22,4.6,78.2,68.7,6.4,Yes,68.8
S228,Female,18,2.3,82.2,65.8,8.0,Yes,51.8
S229,Female,22,3.1,71.5,82.5,7.4,Yes,47.5
